mmdd,prophecy,data_notes
01-20,The pipes shall speak of what is missing while the city will hold its breath.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-21,Heat will be demanded and denied in equal measure even as the roads shall carry all things without complaint.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
01-22,"On this day, heat will be demanded and denied in equal measure and yet the city will hold its breath. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-23,The city will wear its wounds openly while a rare quiet shall settle over the pavement. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-24,"On this day, the law will move swiftly and with purpose while the city will hold its breath.","• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
01-25,"In the hours ahead, neglect shall leave its signature even as the harbor will lie still and patient. So it shall be.","• Number of unsanitary condition complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
01-26,"In the hours ahead, justice will have work to do even as the beasts of the city shall stay their hand. Heed it.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-27,"When the time comes, the cold shall press inward and be answered yet what gathers in shadows shall remain there today. So it shall be.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
01-28,Warmth will be sought across many thresholds yet what gathers in shadows shall remain there today. Heed it.,"• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
01-29,"Before it ends, the roads will bear witness to their own exhaustion and still the harbor will lie still and patient.","• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
01-30,The cold within will not be suffered in silence while no fang shall find purchase today.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
01-31,Heat will be demanded and denied in equal measure and yet a rare quiet shall settle over the pavement. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-01,The law will move swiftly and with purpose while the city will hold its breath.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-02,Warmth will be sought across many thresholds yet the streets shall offer silence as a gift. So it shall be.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-03,Warmth will be sought across many thresholds while the water will be asked to carry very little. So it shall be.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
02-04,"Warmth will be sought across many thresholds yet need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-05,"Before it ends, the ground itself shall register its complaint while need shall rest, briefly, at a distance.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-06,"Before it ends, the law will move swiftly and with purpose though the animals will watch from a careful distance.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-07,"The long arm will reach further than expected today and yet need shall rest, briefly, at a distance.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-08,Reckoning shall find those it seeks yet no fang shall find purchase today.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-09,"Before it ends, justice will have work to do while the beasts of the city shall stay their hand.","• Number of NYPD arrests: High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-10,The animals will make themselves known as the roads shall carry all things without complaint. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: High
• Number of street condition complaints to 311: Very Low"
02-11,Warmth will be sought across many thresholds as the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low"
02-12,"On this day, the cold shall press inward and be answered and yet need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-13,"When the time comes, the walls shall cry out for warmth yet a rare quiet shall settle over the pavement.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-14,"Before it ends, heat will be demanded and denied in equal measure while need shall rest, briefly, at a distance. Let this be known.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-15,"In the hours ahead, reckoning shall find those it seeks and still need shall rest, briefly, at a distance.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-16,Warmth will be sought across many thresholds even as the city will hold its breath.,"• Number of heat and hot water complaints to 311: High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-17,Teeth shall find their mark before the day ends and still the harbor will lie still and patient. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very Low"
02-18,The walls shall cry out for warmth even as the harbor will lie still and patient. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
02-19,"On this day, the day carries a bite in it though no reckoning shall come today. So it shall be.","• Number of dog bite incidents reported to DOHMH: High
• Number of NYPD arrests: Very Low"
02-20,"In the hours ahead, the cold within will not be suffered in silence even as the animals will watch from a careful distance. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-21,The law will move swiftly and with purpose as the streets shall offer silence as a gift.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-22,The ground itself shall register its complaint and yet the beasts of the city shall stay their hand.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
02-23,The cold shall press inward and be answered and still the water will be asked to carry very little. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
02-24,The boundary between human and animal will be tested and still the law shall rest its hand upon no one. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low"
02-25,"Warmth will be sought across many thresholds while need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
02-26,"When the time comes, the boundary between human and animal will be tested and still a rare quiet shall settle over the pavement.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-27,The ground itself shall register its complaint as a rare quiet shall settle over the pavement.,"• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
02-28,The earth beneath the city shall demand attention and still the water will be asked to carry very little.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
02-29,The roads will bear witness to their own exhaustion yet the city will be asked for very little today.,"• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-01,"In the hours ahead, warmth will be sought across many thresholds though no fang shall find purchase today. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-02,The cold shall press inward and be answered though the harbor will lie still and patient.,"• Number of heat and hot water complaints to 311: High
• Number of NYC Ferry boardings: Very Low"
03-03,"In the hours ahead, what is felt will be spoken aloud, loudly while the city will present a cleaner face to the world.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-04,The reservoirs will be alive with oxygen today and still the law shall rest its hand upon no one.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low"
03-05,The earth beneath the city shall demand attention though the water will be asked to carry very little. Let this be known.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
03-06,"Before it ends, the long arm will reach further than expected today yet the harbor will lie still and patient. Take shelter or take heed.","• Number of NYPD arrests: Very High
• Number of NYC Ferry boardings: Very Low"
03-07,The law will move swiftly and with purpose and still a rare quiet shall settle over the pavement.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-08,The ground itself shall register its complaint yet the beasts of the city shall stay their hand. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-09,"Warmth will be sought across many thresholds while need shall rest, briefly, at a distance. Take shelter or take heed.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-10,The earth beneath the city shall demand attention as the water will be asked to carry very little.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
03-11,"Before it ends, that which festers will rise to the surface even as need shall rest, briefly, at a distance. So it shall be.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-12,The ground itself shall register its complaint and yet the animals will watch from a careful distance.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-13,"On this day, the ground itself shall register its complaint, the long arm will reach further than expected today.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High"
03-14,The ground itself shall register its complaint and still the animals will watch from a careful distance. So it shall be.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-15,"Before it ends, the roads will bear witness to their own exhaustion and yet the animals will make themselves known.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: High"
03-16,The streets shall not be quiet and still the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
03-17,The air shall fill with voices too numerous to name though what gathers in shadows shall remain there today. Heed it.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-18,"When the time comes, the ground itself shall register its complaint even as the city will be asked for very little today.","• Number of street condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-19,Heat will be demanded and denied in equal measure as the reservoirs shall run cold and still.,"• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
03-20,Something feral shall break through the ordinary though the city will hold its breath.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-21,"On this day, the walls shall cry out for warmth yet a rare quiet shall settle over the pavement. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
03-22,"Before it ends, warmth will be sought across many thresholds and still the city will be asked for very little today. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-23,"Before it ends, the cold shall press inward and be answered though the city will be asked for very little today.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-24,"When the time comes, warmth will be sought across many thresholds and still the city will be asked for very little today. So it shall be.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
03-25,"In the hours ahead, the streets will carry what they always carry though justice will pass through like a shadow.","• Number of unsanitary condition complaints to 311: High
• Number of NYPD arrests: Very Low"
03-26,"The reservoir will teem with what cannot be seen as the reservoir shall hold a perfect, quiet balance. So it shall be.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
03-27,The ground itself shall register its complaint and yet no fang shall find purchase today.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
03-28,The ground itself shall register its complaint though the harbor will lie still and patient. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
03-29,Teeth shall find their mark before the day ends though the cold shall press inward and be answered.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: High"
03-30,Something feral shall break through the ordinary as what gathers in shadows shall remain there today. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
03-31,"The harbor shall be busy with crossing and still need shall rest, briefly, at a distance. Let this be known.","• Number of NYC Ferry boardings: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
04-01,"Before it ends, the water shall breathe deeply and freely even as the reservoir shall run spare and uncomplicated. Heed it.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
04-02,"In the hours ahead, the reservoirs will be alive with oxygen today as a rare quiet shall settle over the pavement.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
04-03,The city will wear its wounds openly yet the deep water will offer no warmth today.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-04,"When the time comes, the water shall breathe deeply and freely and yet the reservoirs shall run cold and still.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-05,Something feral shall break through the ordinary though the reservoirs shall run cold and still. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-06,"On this day, teeth shall find their mark before the day ends though the city will present a cleaner face to the world.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low"
04-07,"On this day, the streets will show their wear while the animals will watch from a careful distance.","• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
04-08,"When the time comes, the roads will bear witness to their own exhaustion even as the water will ask nothing of those who drink it.","• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-09,The reservoir shall be heavy with what accumulates yet the reservoirs shall run cold and still.,"• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-10,Teeth shall find their mark before the day ends even as the deep water will offer no warmth today.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-11,The reservoirs will be alive with oxygen today while warmth will ask nothing of anyone today.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
04-12,The earth beneath the city shall demand attention as the cold will come and go uncontested. So it shall be.,"• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
04-13,"In the hours ahead, the animals will make themselves known even as what gathers in shadows shall remain there today. Take shelter or take heed.","• Number of dog bite incidents reported to DOHMH: High
• Number of unsanitary condition complaints to 311: Very Low"
04-14,"On this day, the harbor shall be busy with crossing while the city will present a cleaner face to the world.","• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low"
04-15,"When the time comes, the smallest lives shall multiply beyond counting, the water will tip toward one extreme and linger there.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High"
04-16,The roads will bear witness to their own exhaustion while the reservoirs shall run cold and still. So it shall be.,"• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-17,The earth beneath the city shall demand attention while the water will ask nothing of those who drink it. Let this be known.,"• Number of street condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low"
04-18,The reservoirs will be alive with oxygen today while the deep water will offer no warmth today. Let this be known.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-19,The pavement shall speak of time yet the animals will watch from a careful distance. Take shelter or take heed.,"• Number of street condition complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
04-20,"In the hours ahead, the boats will bear the weight of a city in motion yet the law shall rest its hand upon no one. Take shelter or take heed.","• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
04-21,"The roads will hold, more or less even as the law shall rest its hand upon no one.","• Number of street condition complaints to 311: Medium
• Number of NYPD arrests: Very Low"
04-22,The water shall breathe deeply and freely even as justice will pass through like a shadow. Take shelter or take heed.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very Low"
04-23,"In the hours ahead, the ground itself shall register its complaint even as the deep water will offer no warmth today. Heed it.","• Number of street condition complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-24,"When the time comes, the pavement shall speak of time while the reservoirs shall run cold and still. Let this be known.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
04-25,"In the hours ahead, the boundary between human and animal will be tested, the boats will bear the weight of a city in motion. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very High"
04-26,"Before it ends, many will take to the water and yet the streets will speak softly, if at all.","• Number of NYC Ferry boardings: High
• Number of street and sidewalk noise complaints to 311: Low"
04-27,The harbor shall be busy with crossing and still the city will present a cleaner face to the world. Let this be known.,"• Number of NYC Ferry boardings: High
• Number of unsanitary condition complaints to 311: Very Low"
04-28,The waters will carry great multitudes across though the law shall rest its hand upon no one. Heed it.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low"
04-29,"In the hours ahead, many will arrive at the threshold of need though justice will pass through like a shadow. So it shall be.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of NYPD arrests: Very Low"
04-30,"Before it ends, the roads will bear witness to their own exhaustion and yet no fang shall find purchase today.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
05-01,The earth beneath the city shall demand attention and still the water will run clear and transparent. Take shelter or take heed.,"• Number of street condition complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
05-02,"In the hours ahead, the reservoir's chemistry shall declare itself, something feral shall break through the ordinary.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High"
05-03,"The reservoirs will be alive with oxygen today, teeth shall find their mark before the day ends.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very High"
05-04,Teeth shall find their mark before the day ends while the roads shall carry all things without complaint. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
05-05,"Before it ends, the hearth burns neither brightly nor dim yet the city will present a cleaner face to the world. Heed it.","• Number of heat and hot water complaints to 311: Medium
• Number of unsanitary condition complaints to 311: Very Low"
05-06,The ground itself shall register its complaint even as justice will pass through like a shadow.,"• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very Low"
05-07,Many shall cross the harbor before day's end yet the reservoir will be sparse and still. Take shelter or take heed.,"• Number of NYC Ferry boardings: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
05-08,"The earth beneath the city shall demand attention, the long arm will reach further than expected today. Let this be known.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High"
05-09,"When the time comes, reckoning shall find those it seeks and yet the reservoirs shall run cold and still.","• Number of NYPD arrests: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
05-10,Something feral shall break through the ordinary while the boats shall cross nearly empty. Let this be known.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYC Ferry boardings: Very Low"
05-11,"In the hours ahead, the boats will bear the weight of a city in motion while the beasts of the city shall stay their hand.","• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
05-12,"Before it ends, the hearth burns neither brightly nor dim and yet the law shall rest its hand upon no one.","• Number of heat and hot water complaints to 311: Medium
• Number of NYPD arrests: Very Low"
05-13,"In the hours ahead, life will assert itself in the dark water and still the beasts of the city shall stay their hand. So it shall be.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
05-14,"On this day, the reservoir shall be heavy with what accumulates, the roads will bear witness to their own exhaustion. Heed it.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very High"
05-15,"Before it ends, the reservoir shall be heavy with what accumulates and yet the beasts of the city shall stay their hand. Take shelter or take heed.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
05-16,"The water will tip toward one extreme and linger there, the long arm will reach further than expected today.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of NYPD arrests: Very High"
05-17,The water shall breathe deeply and freely and yet the reservoir shall hide nothing today.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
05-18,"Before it ends, something feral shall break through the ordinary even as the reservoir shall hide nothing today.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
05-19,"In the hours ahead, the waters will carry great multitudes across yet the city will present a cleaner face to the world. Let this be known.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
05-20,"When the time comes, the streets will show their wear while the water will run cool and even. Heed it.","• Number of street condition complaints to 311: High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low"
05-21,"On this day, the ground itself shall register its complaint yet the water shall offer little to feed upon.","• Number of street condition complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
05-22,"The ground itself shall register its complaint, the law will move swiftly and with purpose. Take shelter or take heed.","• Number of street condition complaints to 311: Very High
• Number of NYPD arrests: Very High"
05-23,"In the hours ahead, the ground itself shall register its complaint and yet the cold will come and go uncontested.","• Number of street condition complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
05-24,The reservoir's chemistry shall declare itself and yet the walls shall hold their peace.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of heat and hot water complaints to 311: Very Low"
05-25,"When the time comes, many shall cross the harbor before day's end while what gathers in shadows shall remain there today.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low"
05-26,"Before it ends, the air shall fill with voices too numerous to name and yet the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
05-27,The streets shall not be quiet yet the city will present a cleaner face to the world. Take shelter or take heed.,"• Number of street and sidewalk noise complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
05-28,Teeth shall find their mark before the day ends and yet the reservoir will be sparse and still. Heed it.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
05-29,Many will arrive at the threshold of need yet the reservoir shall run spare and uncomplicated. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
05-30,Teeth shall find their mark before the day ends while the reservoirs shall run cold and still.,"• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
05-31,"On this day, what is felt will be spoken aloud, loudly, the boundary between human and animal will be tested. Let this be known.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very High"
06-01,"In the hours ahead, the city will not keep its counsel today even as the walls shall hold their peace.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-02,"In the hours ahead, the streets will overflow with sound and signal yet the cold will come and go uncontested.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of heat and hot water complaints to 311: Very Low"
06-03,"When the time comes, the reservoir shall be heavy with what accumulates, life will assert itself in the dark water.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High"
06-04,The city shall be asked to hold more than it expected while no fang shall find purchase today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
06-05,"The city will wear its wounds openly, the shelter of last resort will be sought by many.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High"
