prophecy_index,mmdd,prophecy,data_notes
35,02-04,"number of 311 service requests handled by the department of homeless services (dhs) turning inward, then the memory of number of street condition complaints to 311; the sequence will matter",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of street condition complaints to 311: Very Low | Number of heat/hot water complaints to 311: High
36,02-05,"number of unsanitary condition complaints to 311 without its name will arrive too early, or too late, but precisely when it is needed.",Number of unsanitary condition complaints to 311: Medium | Number of street condition complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
37,02-06,"number of heat/hot water complaints to 311 at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of heat/hot water complaints to 311: Very High
38,02-07,"number of unsanitary condition complaints to 311 at its edge and the memory of number of street condition complaints to 311 will pass unnoticed, except by those already looking away.",Number of unsanitary condition complaints to 311: High | Number of street condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYC Ferry boardings: Low
39,02-08,"a trace of number of 311 service requests handled by the department of homeless services (dhs) , something resembling number of noise (street/sidewalk) complaints to 311 , number of nypd",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of NYPD arrests: Very High
40,02-09,"a trace of number of street condition complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of street condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Very Low
41,02-10,"number of unsanitary condition complaints to 311 turning inward will return briefly, then vanish before it is recognized.",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: High
42,02-11,"a trace of number of dog bite incidents reported to dohmh , number of rodent inspections conducted by nyc without its name—none of it accidental, though no one will agree",Number of dog bite incidents reported to DOHMH: Medium | Number of rodent inspections conducted by NYC: Very Low
43,02-12,"the memory of number of street condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of street condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Low | Number of heat/hot water complaints to 311: High | Number of rodent inspections conducted by NYC: High
44,02-13,"number of rodent inspections conducted by nyc without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Low | Number of dog bite incidents reported to DOHMH: Very Low
45,02-14,"a trace of number of unsanitary condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Low
46,02-15,"something resembling number of rodent inspections conducted by nyc will lean toward each other, as if conspiring in plain sight.",Number of rodent inspections conducted by NYC: High
47,02-16,"a trace of number of rodent inspections conducted by nyc and number of noise (street/sidewalk) complaints to 311 without its name will pass unnoticed, except by those already looking away.",Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Medium
48,02-17,"something resembling number of dog bite incidents reported to dohmh will almost reveal something, then think better of it.",Number of dog bite incidents reported to DOHMH: Very High | Number of heat/hot water complaints to 311: High | Number of street condition complaints to 311: Very Low
49,02-18,"the echo of number of rodent inspections conducted by nyc, another sign; something misremembered will feel newly true.",Number of rodent inspections conducted by NYC: Very Low
50,02-19,"number of nypd arrests without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
51,02-20,"the memory of number of nypd arrests and something resembling number of 311 service requests handled by the department of homeless services (dhs) will lean toward each other, as if",Number of NYPD arrests: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYC Ferry boardings: Low
52,02-21,"something resembling number of street condition complaints to 311—none of it accidental, though no one will agree why.",Number of street condition complaints to 311: High
53,02-22,"number of nyc ferry boardings without its name will arrive too early, or too late, but precisely when it is needed.",Number of NYC Ferry boardings: Low | Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
54,02-23,"something resembling number of nypd arrests and number of dog bite incidents reported to dohmh turning inward will pass unnoticed, except by those already looking away.",Number of NYPD arrests: Medium | Number of dog bite incidents reported to DOHMH: Medium
55,02-24,"the echo of number of heat/hot water complaints to 311, number of nyc ferry boardings at its edge; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: High | Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very High
56,02-25,"something resembling number of noise (street/sidewalk) complaints to 311, then silence; the sequence will matter more than the meaning.",Number of noise (street/sidewalk) complaints to 311: Very Low
57,02-26,"the echo of number of nypd arrests, then the memory of number of 311 service requests handled by the department of homeless services (dhs); the sequence will matter more than",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
58,02-27,"the echo of number of heat/hot water complaints to 311, number of rodent inspections conducted by nyc at its edge; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: Medium | Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: High | Number of street condition complaints to 311: Very High
59,02-28,"something resembling number of 311 service requests handled by the department of homeless services (dhs) , number of dog bite incidents reported to dohmh without its name , number of",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: High
60,02-29,"the echo of number of unsanitary condition complaints to 311, a trace of number of 311 service requests handled by the department of homeless services (dhs); something misremembered will feel",Number of unsanitary condition complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: High
61,03-01,"number of rodent inspections conducted by nyc without its name will almost reveal something, then think better of it.",Number of rodent inspections conducted by NYC: Very High
62,03-02,"number of dog bite incidents reported to dohmh turning inward will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: Medium | Number of noise (street/sidewalk) complaints to 311: Low
63,03-03,"number of unsanitary condition complaints to 311 without its name , a trace of number of 311 service requests handled by the department of homeless services (dhs) , a trace",Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: Medium | Number of heat/hot water complaints to 311: Medium
64,03-04,"number of 311 service requests handled by the department of homeless services (dhs) at its edge will arrive too early, or too late, but precisely when it is needed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of rodent inspections conducted by NYC: High | Number of noise (street/sidewalk) complaints to 311: Low
65,03-05,"number of nypd arrests at its edge will pass unnoticed, except by those already looking away.",Number of NYPD arrests: High
66,03-06,"number of noise (street/sidewalk) complaints to 311 without its name will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Very Low
67,03-07,"the echo of number of heat/hot water complaints to 311, number of street condition complaints to 311 without its name; something misremembered will feel newly true.",Number of heat/hot water complaints to 311: High | Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of unsanitary condition complaints to 311: Medium
68,03-08,"number of dog bite incidents reported to dohmh at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: Very Low
69,03-09,"something resembling number of street condition complaints to 311 will almost reveal something, then think better of it.",Number of street condition complaints to 311: Medium | Number of NYC Ferry boardings: Very Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of unsanitary condition complaints to 311: Low
70,03-10,"a trace of number of nyc ferry boardings, another sign; something misremembered will feel newly true.",Number of NYC Ferry boardings: Very Low
71,03-11,"the memory of number of noise (street/sidewalk) complaints to 311, then something resembling daily median water ph (su) across nyc dep watershed reservoirs; the sequence will matter more than the",Number of noise (street/sidewalk) complaints to 311: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Number of NYPD arrests: Medium
72,03-12,"number of nypd arrests without its name, then a trace of number of rodent inspections conducted by nyc; the sequence will matter more than the meaning.",Number of NYPD arrests: Very High | Number of rodent inspections conducted by NYC: High
73,03-13,"number of noise (street/sidewalk) complaints to 311 at its edge, number of street condition complaints to 311 at its edge; something misremembered will feel newly true.",Number of noise (street/sidewalk) complaints to 311: Low | Number of street condition complaints to 311: Very High | Number of NYPD arrests: Very High
74,03-14,"number of 311 service requests handled by the department of homeless services (dhs) turning inward will lean toward each other, as if conspiring in plain sight.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
75,03-15,"number of rodent inspections conducted by nyc at its edge will arrive too early, or too late, but precisely when it is needed.",Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Low | Number of heat/hot water complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
76,03-16,"the memory of number of noise (street/sidewalk) complaints to 311—none of it accidental, though no one will agree why.",Number of noise (street/sidewalk) complaints to 311: High
77,03-17,"the echo of number of 311 service requests handled by the department of homeless services (dhs), number of dog bite incidents reported to dohmh at its edge; something misremembered will",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: Very High
78,03-18,"the memory of number of rodent inspections conducted by nyc, another sign; something misremembered will feel newly true.",Number of rodent inspections conducted by NYC: Very High
79,03-19,"something resembling number of nyc ferry boardings might appear ordinary, until it refuses to behave that way.",Number of NYC Ferry boardings: Low | Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
80,03-20,"the echo of number of nypd arrests will lean toward each other, as if conspiring in plain sight.",Number of NYPD arrests: Very High
81,03-21,"something resembling number of dog bite incidents reported to dohmh will almost reveal something, then think better of it.",Number of dog bite incidents reported to DOHMH: Very Low | Number of unsanitary condition complaints to 311: Medium | Number of NYPD arrests: High | Number of rodent inspections conducted by NYC: Medium
82,03-22,"number of heat/hot water complaints to 311 turning inward , number of 311 service requests handled by the department of homeless services (dhs) turning inward , number of dog bite",Number of heat/hot water complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Low | Number of NYPD arrests: Medium
83,03-23,"number of nyc ferry boardings without its name will return briefly, then vanish before it is recognized.",Number of NYC Ferry boardings: Very Low | Number of NYPD arrests: Very Low | Number of street condition complaints to 311: Low
84,03-24,"the memory of number of heat/hot water complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of heat/hot water complaints to 311: High | Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Medium
85,03-25,"a trace of number of rodent inspections conducted by nyc—none of it accidental, though no one will agree why.",Number of rodent inspections conducted by NYC: Very High
86,03-26,"the echo of number of nypd arrests will almost reveal something, then think better of it.",Number of NYPD arrests: Medium | Number of unsanitary condition complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
87,03-27,"the memory of number of unsanitary condition complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of unsanitary condition complaints to 311: Low
88,03-28,"number of street condition complaints to 311 at its edge will almost reveal something, then think better of it.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low
89,03-29,"number of nyc ferry boardings turning inward will return briefly, then vanish before it is recognized.",Number of NYC Ferry boardings: Medium
90,03-30,"number of nypd arrests without its name might appear ordinary, until it refuses to behave that way.",Number of NYPD arrests: Very Low | Number of rodent inspections conducted by NYC: Low
91,03-31,"number of heat/hot water complaints to 311 turning inward will almost reveal something, then think better of it.",Number of heat/hot water complaints to 311: Medium
92,04-01,"the echo of number of noise (street/sidewalk) complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of heat/hot water complaints to 311: High
93,04-02,"daily median water temperature (°c) across nyc dep watershed reservoirs turning inward will lean toward each other, as if conspiring in plain sight.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
94,04-03,"something resembling daily median water temperature (°c) across nyc dep watershed reservoirs will arrive too early, or too late, but precisely when it is needed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
95,04-04,"number of noise (street/sidewalk) complaints to 311 at its edge, the memory of daily median water ph (su) across nyc dep watershed reservoirs; something misremembered will feel newly true.",Number of noise (street/sidewalk) complaints to 311: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
96,04-05,"number of street condition complaints to 311 at its edge will almost reveal something, then think better of it.",Number of street condition complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
97,04-06,"number of 311 service requests handled by the department of homeless services (dhs) without its name will return briefly, then vanish before it is recognized.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: Very High
98,04-07,"a trace of number of nypd arrests will return briefly, then vanish before it is recognized.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very Low
99,04-08,"something resembling number of street condition complaints to 311 , number of nyc ferry boardings without its name—none of it accidental, though no one will agree why.",Number of street condition complaints to 311: Very High | Number of NYC Ferry boardings: Low
100,04-09,"the echo of number of street condition complaints to 311, another sign; something misremembered will feel newly true.",Number of street condition complaints to 311: Very High
101,04-10,"number of noise (street/sidewalk) complaints to 311 turning inward, a trace of daily median water temperature (°c) across nyc dep watershed reservoirs; something misremembered will feel newly true.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of NYPD arrests: Very High
102,04-11,"the memory of number of nyc ferry boardings and number of rodent inspections conducted by nyc at its edge will pass unnoticed, except by those already looking away.",Number of NYC Ferry boardings: Low | Number of rodent inspections conducted by NYC: Very Low
103,04-12,"the echo of number of nyc ferry boardings will arrive too early, or too late, but precisely when it is needed.",Number of NYC Ferry boardings: Low
104,04-13,"number of nypd arrests at its edge will arrive too early, or too late, but precisely when it is needed.",Number of NYPD arrests: Low
105,04-14,"a trace of number of street condition complaints to 311 , number of 311 service requests handled by the department of homeless services (dhs) without its name , a trace",Number of street condition complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: Very Low
106,04-15,"daily median total plankton (asu/ml) across nyc dep watershed reservoirs at its edge will return briefly, then vanish before it is recognized.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
107,04-16,"daily median water temperature (°c) across nyc dep watershed reservoirs without its name and the memory of number of heat/hot water complaints to 311 will pass unnoticed, except by those",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of heat/hot water complaints to 311: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
108,04-17,"something resembling number of rodent inspections conducted by nyc will arrive too early, or too late, but precisely when it is needed.",Number of rodent inspections conducted by NYC: High | Number of NYPD arrests: Very High
109,04-18,"a trace of daily median water ph (su) across nyc dep watershed reservoirs will almost reveal something, then think better of it.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High | Number of unsanitary condition complaints to 311: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
110,04-19,"a trace of number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: Low
111,04-20,"the echo of number of dog bite incidents reported to dohmh will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: High
112,04-21,"the memory of number of dog bite incidents reported to dohmh and number of heat/hot water complaints to 311 without its name will pass unnoticed, except by those already looking",Number of dog bite incidents reported to DOHMH: Medium | Number of heat/hot water complaints to 311: Medium | Number of street condition complaints to 311: Medium
113,04-22,"number of noise (street/sidewalk) complaints to 311 without its name might appear ordinary, until it refuses to behave that way.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Medium
114,04-23,"daily median total plankton (asu/ml) across nyc dep watershed reservoirs turning inward, daily median turbidity (ntu) across nyc dep watershed reservoirs at its edge; something misremembered will feel newly true.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High
115,04-24,"daily median turbidity (ntu) across nyc dep watershed reservoirs without its name and the memory of number of dog bite incidents reported to dohmh will lean toward each other, as",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of dog bite incidents reported to DOHMH: Low
116,04-25,"daily median water ph (su) across nyc dep watershed reservoirs without its name, the memory of number of street condition complaints to 311; something misremembered will feel newly true.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of street condition complaints to 311: High | Number of rodent inspections conducted by NYC: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
117,04-26,"something resembling number of street condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of street condition complaints to 311: High | Number of dog bite incidents reported to DOHMH: Low | Number of rodent inspections conducted by NYC: High | Number of NYC Ferry boardings: High
118,04-27,"the memory of number of unsanitary condition complaints to 311, then number of heat/hot water complaints to 311 turning inward; the sequence will matter more than the meaning.",Number of unsanitary condition complaints to 311: Very Low | Number of heat/hot water complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
119,04-28,"the memory of number of rodent inspections conducted by nyc will pass unnoticed, except by those already looking away.",Number of rodent inspections conducted by NYC: Very Low
120,04-29,"the memory of number of unsanitary condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of unsanitary condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Low
121,04-30,"a trace of number of street condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of street condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very Low
122,05-01,"the echo of number of nyc ferry boardings, then a trace of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs; the sequence will matter more than the meaning.",Number of NYC Ferry boardings: High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of unsanitary condition complaints to 311: Medium
123,05-02,"the echo of daily median water ph (su) across nyc dep watershed reservoirs—none of it accidental, though no one will agree why.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
124,05-03,"something resembling daily median water ph (su) across nyc dep watershed reservoirs will return briefly, then vanish before it is recognized.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Number of heat/hot water complaints to 311: Medium
125,05-04,"a trace of number of street condition complaints to 311 and number of dog bite incidents reported to dohmh at its edge will pass unnoticed, except by those already looking",Number of street condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High | Number of unsanitary condition complaints to 311: Very Low
126,05-05,"number of unsanitary condition complaints to 311 turning inward , number of dog bite incidents reported to dohmh turning inward—none of it accidental, though no one will agree why.",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
127,05-06,"number of dog bite incidents reported to dohmh at its edge will return briefly, then vanish before it is recognized.",Number of dog bite incidents reported to DOHMH: Low | Number of heat/hot water complaints to 311: Medium | Number of NYPD arrests: Very Low | Number of NYC Ferry boardings: Medium
128,05-07,"something resembling number of rodent inspections conducted by nyc will return briefly, then vanish before it is recognized.",Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium
129,05-08,"number of street condition complaints to 311 turning inward, then the memory of number of nypd arrests; the sequence will matter more than the meaning.",Number of street condition complaints to 311: Very High | Number of NYPD arrests: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
130,05-09,"the memory of number of nypd arrests might appear ordinary, until it refuses to behave that way.",Number of NYPD arrests: Very High | Number of NYC Ferry boardings: Medium | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
131,05-10,"daily median total phosphorus (µg/l) across nyc dep watershed reservoirs turning inward will hesitate, and in that pause, a quiet reversal will begin.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low
132,05-11,"something resembling number of nyc ferry boardings will lean toward each other, as if conspiring in plain sight.",Number of NYC Ferry boardings: Very High
