prophecy_index,mmdd,prophecy,data_notes
108,04-17,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very High
109,04-18,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: Medium | Number of rodent inspections conducted by NYC: Very High
110,04-19,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
111,04-20,"something unnamed, a restless mirror, an unseen murmur will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very Low | Number of heat/hot water complaints to 311: Medium | Number of street condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: High
112,04-21,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of unsanitary condition complaints to 311: Very Low | Number of NYC Ferry boardings: Low
113,04-22,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of dog bite incidents reported to DOHMH: High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
114,04-23,"a restless mirror, an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of rodent inspections conducted by NYC: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
115,04-24,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of rodent inspections conducted by NYC: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
116,04-25,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
117,04-26,"something unnamed, an unseen murmur, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Low | Number of heat/hot water complaints to 311: Medium | Number of NYC Ferry boardings: High
118,04-27,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of street condition complaints to 311: Very Low
119,04-28,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of rodent inspections conducted by NYC: Very Low
120,04-29,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of unsanitary condition complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Low
121,04-30,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very High | Number of NYPD arrests: High | Number of dog bite incidents reported to DOHMH: Very Low
122,05-01,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
123,05-02,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High
124,05-03,"something unnamed, a restless mirror, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: Medium
125,05-04,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: High | Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very Low
126,05-05,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Very Low
127,05-06,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Very High
128,05-07,"a restless mirror, something unnamed will gather, before anyone thinks to call it a sign.",Number of heat/hot water complaints to 311: Medium | Number of street condition complaints to 311: Very High | Number of NYPD arrests: High
129,05-08,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of NYPD arrests: Very High
130,05-09,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
131,05-10,"an unseen murmur, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
132,05-11,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: Low | Number of heat/hot water complaints to 311: Medium | Number of NYC Ferry boardings: Very High
133,05-12,"an unseen murmur will gather, before anyone thinks to call it a sign.",Number of noise (street/sidewalk) complaints to 311: Medium
134,05-13,"a restless mirror will gather, before anyone thinks to call it a sign.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
135,05-14,"a restless mirror, an unseen murmur, something unnamed will gather, and the air will hesitate just long enough to matter.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High | Number of heat/hot water complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of NYC Ferry boardings: Medium
136,05-15,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Number of NYC Ferry boardings: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Number of unsanitary condition complaints to 311: Medium
137,05-16,"an unseen murmur, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Low | Number of NYC Ferry boardings: Medium
138,05-17,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: High
139,05-18,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
140,05-19,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: Low | Number of NYC Ferry boardings: Very High
141,05-20,"a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of heat/hot water complaints to 311: Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High
142,05-21,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Very High | Number of NYC Ferry boardings: High | Number of NYPD arrests: High | Number of heat/hot water complaints to 311: Low
143,05-22,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Very High | Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Low
144,05-23,"an unseen murmur, something unnamed will gather, and the air will hesitate just long enough to matter.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of rodent inspections conducted by NYC: High
145,05-24,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium
146,05-25,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of dog bite incidents reported to DOHMH: Medium | Number of street condition complaints to 311: Low
147,05-26,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Medium | Number of NYC Ferry boardings: Very High
148,05-27,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of dog bite incidents reported to DOHMH: Medium | Number of street condition complaints to 311: Low
149,05-28,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
150,05-29,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very High
151,05-30,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of NYPD arrests: Medium | Number of rodent inspections conducted by NYC: Very High | Number of noise (street/sidewalk) complaints to 311: Medium | Number of street condition complaints to 311: Very High
152,05-31,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Very High
153,06-01,"an unseen murmur, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Low | Number of NYC Ferry boardings: Very High
154,06-02,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of NYPD arrests: Low | Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
